2025-04-23 23:02:30,682 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(None,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(-1,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('null',) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(1,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(None,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=([1, 2, 3],) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('{}',) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(True,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('foo',) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(3.14,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=({'a': 1},) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(True,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=([],) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(0,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('foo',) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('',) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(None,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(0,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(-1,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=([1, 2, 3],) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=({'a': 1},) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(0,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(3.14,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(1,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(3.14,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('null',) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=({},) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('null',) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(3.14,) kwargs={} | duration_ms=0
2025-04-23 23:02:30,683 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('null',) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(False,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('',) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(False,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(None,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=({'a': 1},) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('{}',) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=({'a': 1},) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(3.14,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(1,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(1,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('foo',) kwargs={} | duration_ms=0
